# Competitor seeds (pipe-delimited): name|category|website|notes
#
# Examples:
# Shopify|commerce platform|https://www.shopify.com|Baseline platform
# Medusa|headless commerce|https://medusajs.com|OSS headless backend

# --- Analytics / product analytics / BI ---
PostHog|product analytics (oss)|https://posthog.com|OSS product analytics + session replay + feature flags
Matomo|web analytics (oss)|https://matomo.org|OSS web analytics alternative
Plausible|web analytics (oss)|https://plausible.io|Lightweight privacy-friendly analytics
Umami|web analytics (oss)|https://umami.is|OSS analytics (self-host)
Mixpanel|product analytics|https://mixpanel.com|Event analytics + funnels
Amplitude|product analytics|https://amplitude.com|Product analytics + experimentation
Heap|product analytics|https://heap.io|Auto-capture analytics
Segment|CDP|https://segment.com|Customer data platform
RudderStack|CDP (oss)|https://www.rudderstack.com|OSS-ish CDP + pipelines
Metabase|BI (oss)|https://www.metabase.com|OSS BI dashboards
Apache Superset|BI (oss)|https://superset.apache.org|OSS BI dashboards

# --- Heatmaps / session replay / UX analytics ---
Hotjar|heatmaps/session replay|https://www.hotjar.com|Heatmaps + recordings
FullStory|session replay|https://www.fullstory.com|Session replay + UX insights
LogRocket|session replay|https://logrocket.com|Session replay for web apps

# --- Experimentation / A/B testing ---
GrowthBook|experimentation (oss)|https://www.growthbook.io|OSS experimentation + feature flags
Optimizely|experimentation|https://www.optimizely.com|Enterprise experimentation suite
VWO|experimentation|https://vwo.com|A/B testing + personalization
AB Tasty|experimentation|https://www.abtasty.com|A/B testing + personalization
Convert.com|experimentation|https://www.convert.com|A/B testing platform

# --- Feature flags / remote config ---
LaunchDarkly|feature flags|https://launchdarkly.com|Enterprise feature flagging
Unleash|feature flags (oss)|https://www.getunleash.io|OSS feature flags
Flagsmith|feature flags (oss)|https://flagsmith.com|OSS feature flags + remote config
Split.io|feature flags|https://www.split.io|Feature flags + experimentation
ConfigCat|feature flags|https://configcat.com|Remote config + flags

# --- CMS / content ops / page building ---
Contentful|headless CMS|https://www.contentful.com|Headless CMS + content ops
Sanity|headless CMS|https://www.sanity.io|Content platform + studio
Strapi|headless CMS (oss)|https://strapi.io|OSS headless CMS
Directus|headless CMS (oss)|https://directus.io|OSS data + CMS
Payload CMS|headless CMS|https://payloadcms.com|Dev-first CMS (Node)
Builder.io|page builder|https://www.builder.io|Visual page building
Storyblok|headless CMS|https://www.storyblok.com|Visual editing headless CMS
Prismic|headless CMS|https://prismic.io|Headless CMS
Webflow|site builder|https://webflow.com|Visual site builder + CMS patterns

# --- Internal tools / admin builders (adjacent to our admin UX) ---
Retool|internal tools|https://retool.com|Internal tool builder
Appsmith|internal tools (oss)|https://www.appsmith.com|OSS internal tool builder
ToolJet|internal tools (oss)|https://tooljet.com|OSS internal tools
Budibase|internal tools (oss)|https://budibase.com|OSS low-code internal tools

# --- Automation / workflows / background jobs ---
Zapier|workflow automation|https://zapier.com|Automation platform
Make (Integromat)|workflow automation|https://www.make.com|Automation platform
n8n|workflow automation (oss)|https://n8n.io|OSS automation workflows
Pipedream|workflow automation|https://pipedream.com|Developer automation
Temporal|workflow engine (oss)|https://temporal.io|Durable workflows (heavier integration)

# --- Data / ELT / infra building blocks ---
Airbyte|ELT (oss)|https://airbyte.com|OSS ELT connectors
Meltano|ELT (oss)|https://meltano.com|OSS ELT framework
dbt|analytics engineering|https://www.getdbt.com|Transformation framework
Supabase|backend platform|https://supabase.com|Postgres + auth + storage (adjacent primitives)
Firebase|backend platform|https://firebase.google.com|Backend primitives (adjacent)
Appwrite|backend platform (oss)|https://appwrite.io|OSS backend primitives
PocketBase|backend platform (oss)|https://pocketbase.io|OSS backend-in-a-file
