rank,score,store,url,niche,rationale,snapshot_path,blocked,platform,bnpl,reviews,returns,search_personalization,subscriptions,support,ux_keywords
1,10,Fenty Beauty,https://fentybeauty.com,Beauty DTC,"snapshot_ok, reviews, search/personalization, returns, bnpl, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/fenty-beauty.html,,"shopify, magento","afterpay, klarna",yotpo,narvar,searchspring,,gorgias,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
2,10,Summer Fridays,https://summerfridays.com,Beauty DTC,"snapshot_ok, reviews, search/personalization, bnpl, subscriptions, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/summer-fridays.html,,"shopify, magento",afterpay,"yotpo, okendo, trustpilot",,klevu,skio,gorgias,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
3,10,Supergoop,https://supergoop.com,Beauty DTC,"snapshot_ok, reviews, search/personalization, bnpl, subscriptions, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/supergoop.html,,"shopify, magento","afterpay, klarna","yotpo, okendo, judge_me, trustpilot",,searchspring,skio,gorgias,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
4,9,ColourPop,https://colourpop.com,Beauty DTC,"snapshot_ok, reviews, search/personalization, bnpl, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/colourpop.html,,"shopify, magento",klarna,"yotpo, okendo",,klevu,,gorgias,"newsletter_signup, loyalty_rewards, sustainability"
5,9,The Inkey List,https://www.theinkeylist.com,Beauty DTC,"snapshot_ok, reviews, search/personalization, bnpl, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-inkey-list.html,,"shopify, magento",klarna,"okendo, trustpilot",,dynamic_yield,,gorgias,"free_shipping, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
6,9,OLIPOP,https://drinkolipop.com,Beverage DTC,"snapshot_ok, reviews, search/personalization, subscriptions, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/olipop.html,,"shopify, magento",,bazaarvoice,,rebuy,"recharge, skio",gorgias,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
7,9,Parachute,https://www.parachutehome.com,Home DTC,"snapshot_ok, reviews, search/personalization, bnpl, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/parachute.html,,"shopify, magento",affirm,"yotpo, bazaarvoice",,rebuy,,gorgias,"free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
8,8,Tatcha,https://www.tatcha.com,Beauty DTC,"snapshot_ok, reviews, search/personalization, returns, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/tatcha.html,,magento,afterpay,yotpo,narvar,dynamic_yield,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, sustainability"
9,8,Liquid Death,https://liquiddeath.com,Beverage DTC,"snapshot_ok, reviews, search/personalization, bnpl, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/liquid-death.html,,"shopify, magento","afterpay, klarna","yotpo, bazaarvoice, trustpilot",,rebuy,,,"free_shipping, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
10,7,Glossier,https://www.glossier.com,Beauty DTC,"snapshot_ok, reviews, subscriptions, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/glossier.html,,"shopify, magento",,yotpo,,,recharge,gorgias,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, sustainability"
11,7,Cult Beauty,https://www.cultbeauty.com,Beauty retail,"snapshot_ok, reviews, search/personalization, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/cult-beauty.html,,magento,klarna,trustpilot,,dynamic_yield,,,"returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
12,7,Lookfantastic,https://www.lookfantastic.com,Beauty retail,"snapshot_ok, reviews, search/personalization, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/lookfantastic.html,,magento,klarna,"bazaarvoice, trustpilot",,dynamic_yield,,,"returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
13,7,Hint Water,https://www.drinkhint.com,Beverage DTC,"snapshot_ok, search/personalization, subscriptions, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/hint-water.html,,"shopify, magento",,,,klevu,recharge,"gorgias, zendesk","free_shipping, store_locator, newsletter_signup, loyalty_rewards, sustainability"
14,7,Trade Coffee,https://www.drinktrade.com,Coffee subscription,"snapshot_ok, reviews, bnpl, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/trade-coffee.html,,"shopify, magento","afterpay, klarna","yotpo, trustpilot",,,,gorgias,"newsletter_signup, loyalty_rewards, sustainability"
