# Competitor seeds (pipe-delimited)
# name|category|website|notes
#
# category suggestions: core-platform, composable, oss-commerce, automation, retention, cx-support, returns, analytics, personalization, cms, search, internal-tools, feature-flags, workflow-engine, infra

Shopify|core-platform|https://www.shopify.com|Category leader (baseline expectations)
BigCommerce|core-platform|https://www.bigcommerce.com|Mid-market SaaS platform
Adobe Commerce (Magento)|core-platform|https://business.adobe.com/products/magento/magento-commerce.html|Enterprise commerce suite
Shopware|core-platform|https://www.shopware.com|EU-focused commerce platform
WooCommerce|core-platform|https://woocommerce.com|WordPress commerce ecosystem

commercetools|composable|https://commercetools.com|Composable commerce (API-first)
Spryker|composable|https://spryker.com|Composable commerce + OMS patterns
Elastic Path|composable|https://www.elasticpath.com|Composable commerce
Salesforce Commerce Cloud|composable|https://www.salesforce.com/products/commerce-cloud/overview/|Enterprise platform
SAP Commerce Cloud|composable|https://www.sap.com/products/crm/commerce-cloud.html|Enterprise commerce

Saleor|oss-commerce|https://saleor.io|GraphQL-first commerce platform
Medusa|oss-commerce|https://medusajs.com|Node headless commerce
Vendure|oss-commerce|https://www.vendure.io|TS headless commerce (plugin system)
Sylius|oss-commerce|https://sylius.com|Symfony commerce
Bagisto|oss-commerce|https://bagisto.com|Laravel commerce
Spree Commerce|oss-commerce|https://spreecommerce.org|Ruby commerce
Solidus|oss-commerce|https://solidus.io|Ruby commerce (Spree fork)
PrestaShop|oss-commerce|https://www.prestashop.com|Open-source commerce (EU)
OpenCart|oss-commerce|https://www.opencart.com|Legacy OSS commerce
nopCommerce|oss-commerce|https://www.nopcommerce.com|.NET commerce
OroCommerce|oss-commerce|https://oroinc.com/orocommerce/|B2B commerce focus
OpenMage|oss-commerce|https://www.openmage.org|Magento community continuation
Shopify Hydrogen|adjacent|https://hydrogen.shopify.dev|Headless storefront framework
Remix|adjacent|https://remix.run|Storefront framework (used in commerce)
Next.js Commerce (Vercel)|adjacent|https://github.com/vercel/commerce|Reference storefront patterns

Klaviyo|retention|https://www.klaviyo.com|Email/SMS automation + segments
Attentive|retention|https://www.attentive.com|SMS marketing
Postscript|retention|https://postscript.io|SMS marketing for Shopify
Omnisend|retention|https://www.omnisend.com|Email/SMS automation
Drip|retention|https://www.drip.com|Lifecycle marketing
Braze|retention|https://www.braze.com|Enterprise lifecycle marketing

Gorgias|cx-support|https://www.gorgias.com|Shopify-focused helpdesk
Zendesk|cx-support|https://www.zendesk.com|Helpdesk platform
Intercom|cx-support|https://www.intercom.com|Customer messaging + support
Freshdesk|cx-support|https://freshdesk.com|Support desk
Help Scout|cx-support|https://www.helpscout.com|Support desk

Loop Returns|returns|https://loopreturns.com|Returns/exchanges portal
AfterShip Returns|returns|https://www.aftership.com/returns|Returns portal + tracking
Returnly|returns|https://returnly.com|Returns platform
Happy Returns|returns|https://happyreturns.com|Returns network
Narvar|returns|https://corp.narvar.com|Post-purchase + tracking + returns

ShipStation|fulfillment|https://www.shipstation.com|Shipping label + fulfillment ops
Shippo|fulfillment|https://goshippo.com|Shipping API + labels
EasyPost|fulfillment|https://www.easypost.com|Shipping API
AfterShip Tracking|fulfillment|https://www.aftership.com/tracking|Tracking + notifications

Rebuy|personalization|https://rebuyengine.com|Upsell + personalization
Nosto|personalization|https://www.nosto.com|Personalization + merch
Dynamic Yield|personalization|https://www.dynamicyield.com|Personalization + experimentation
Optimizely|analytics|https://www.optimizely.com|Experimentation platform
VWO|analytics|https://vwo.com|CRO + experimentation
Hotjar|analytics|https://www.hotjar.com|Heatmaps + session recordings
FullStory|analytics|https://www.fullstory.com|Session replay + product analytics
Amplitude|analytics|https://amplitude.com|Product analytics
Mixpanel|analytics|https://mixpanel.com|Product analytics
PostHog|analytics|https://posthog.com|Open-source analytics + flags (also OSS)

Triple Whale|analytics|https://www.triplewhale.com|Ecom attribution + dashboards
Northbeam|analytics|https://www.northbeam.io|Attribution
Littledata|analytics|https://www.littledata.io|Shopify analytics + tracking

Algolia|search|https://www.algolia.com|Hosted search + merch tools
Searchspring|search|https://searchspring.com|Ecommerce search + merch
Klevu|search|https://www.klevu.com|Ecommerce search

Contentful|cms|https://www.contentful.com|Headless CMS (SaaS)
Sanity|cms|https://www.sanity.io|Headless CMS (SaaS)
Strapi|cms|https://strapi.io|OSS headless CMS
Directus|cms|https://directus.io|OSS data-first CMS
Payload CMS|cms|https://payloadcms.com|TS-first CMS

Zapier|automation|https://zapier.com|Workflow automation
Make (Integromat)|automation|https://www.make.com|Workflow automation
n8n|automation|https://n8n.io|Workflow automation (also OSS)
Workato|automation|https://www.workato.com|Enterprise automation

Unleash|feature-flags|https://www.getunleash.io|Feature flags (also OSS)
LaunchDarkly|feature-flags|https://launchdarkly.com|Feature flags
Split|feature-flags|https://www.split.io|Flags + experimentation
Flagsmith|feature-flags|https://flagsmith.com|Feature flags (also OSS)
GrowthBook|feature-flags|https://www.growthbook.io|Experimentation + flags (also OSS)

Retool|internal-tools|https://retool.com|Internal tools builder
Appsmith|internal-tools|https://www.appsmith.com|OSS internal tools
ToolJet|internal-tools|https://tooljet.com|OSS internal tools
Budibase|internal-tools|https://budibase.com|OSS internal tools
Forest Admin|internal-tools|https://www.forestadmin.com|Admin panel builder

Temporal|workflow-engine|https://temporal.io|Durable workflows (also OSS)
Camunda|workflow-engine|https://camunda.com|BPM/workflows
Kestra|workflow-engine|https://kestra.io|Orchestration (also OSS)
Windmill|workflow-engine|https://www.windmill.dev|Internal scripts + workflows (also OSS)

Supabase|infra|https://supabase.com|DB + auth + storage platform
Sentry|infra|https://sentry.io|Error monitoring
Grafana|infra|https://grafana.com|Observability dashboards
Prometheus|infra|https://prometheus.io|Metrics

Metabase|analytics|https://www.metabase.com|BI dashboards (OSS)
Apache Superset|analytics|https://superset.apache.org|BI dashboards (OSS)

Stripe|payments|https://stripe.com|Payments infrastructure
Recharge|subscriptions|https://rechargepayments.com|Subscriptions for Shopify
Skio|subscriptions|https://skio.com|Subscriptions
Bold Subscriptions|subscriptions|https://boldcommerce.com|Subscriptions

Okendo|reviews|https://okendo.io|Reviews + UGC
Yotpo|reviews|https://www.yotpo.com|Reviews + loyalty
Stamped.io|reviews|https://stamped.io|Reviews

Smile.io|loyalty|https://smile.io|Loyalty programs
LoyaltyLion|loyalty|https://loyaltylion.com|Loyalty programs
ReferralCandy|loyalty|https://www.referralcandy.com|Referrals

