store,url,niche,archetype,what_works,watchouts,features_to_steal,snapshot_file,snapshot_path,snapshot_title,snapshot_description,blocked,platform,bnpl,reviews,support,subscriptions,returns,search_personalization,tracking,ux_keywords,segment,model_score,signal_summary
Sezane,https://www.sezane.com,Premium DTC womenswear,DTC brand,Editorial merchandising that sells complete looks,Can bury basics behind storytelling,Shop the look; outfit bundling; editorial PLPs; strong photography,sezane.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/sezane.html,Sézane | Official Site | Women’s Clothing & Accessories,"Welcome to Sézane: discover our women’s clothing, accessories, and essentials at the fairest price, delivered straight to your door.",,magento,,,,,,,"gtm, ga","returns_exchanges, gift_cards, newsletter_signup, sustainability",Premium DTC Womenswear,6.0,platform: magento
Reformation,https://www.thereformation.com,Premium DTC womenswear,DTC brand,Clear product storytelling with fit/occasion framing,Heavy imagery can impact performance,PDP fabric/fit callouts; outfit styling; sustainability positioning; fast checkout,reformation.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/reformation.html,Sustainable Women's Clothing and Accessories | Reformation,Being naked is the #1 most sustainable option. Reformation is #2. We make sustainable clothing and accessories.,,magento,,,,,,,"gtm, ga","free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, sustainability",Premium DTC Womenswear,9.0,platform: magento
Aritzia,https://www.aritzia.com,Premium multi-brand womenswear (house brands),DTC brand,Strong merchandising and collection navigation,Bot protection blocks automated audits,PLP merchandising; category architecture; store locator; quick-add patterns,aritzia.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/aritzia.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,,Womenswear (Other),2.0,blocked; platform: magento
Everlane,https://www.everlane.com,Modern essentials womenswear,DTC brand,Simple browsing and “materials/ethics” trust framing,Can feel generic without strong social proof,Clear value props; material transparency; minimalist PDP structure,everlane.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/everlane.html,Everlane,"Shop Everlane now for modern essentials. We make the most beautiful essentials, at the best factories, without traditional markups.",,"shopify, magento",,yotpo,,,,"algolia, rebuy",,"returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Womenswear (Other),8.5,"platform: shopify, magento; reviews: yotpo; search: algolia, rebuy"
Madewell,https://www.madewell.com,Denim + casual womenswear,Legacy retail,Strong denim focus and wardrobe basics discovery,Bot protection blocks automated audits,Denim fit guidance; cross-sells; loyalty/rewards; store pickup framing,madewell.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/madewell.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Womenswear (Other),1.0,blocked
J.Crew,https://www.jcrew.com,Classic womenswear,Legacy retail,Promotion + merchandising cadence drives frequent return visits,Bot protection blocks automated audits,Promo merchandising; category landing pages; gifting modules,j-crew.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/j-crew.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Womenswear (Other),1.0,blocked
Banana Republic,https://bananarepublic.gap.com,Modern premium basics,Legacy retail,Strong occasion-based merchandising,Can feel promo-heavy at the expense of brand,Occasion edits; bundle styling; easy returns messaging,banana-republic.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/banana-republic.html,Banana Republic,,,magento,"afterpay, klarna",,,,,,,"free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Other,11.0,"platform: magento; bnpl: afterpay, klarna"
Anthropologie,https://www.anthropologie.com,Boho womenswear + lifestyle,Legacy retail,Inspiration-first browsing with lifestyle merchandising,Can overwhelm users with variety,Editorial collections; cross-category merchandising; rich PDP media,anthropologie.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/anthropologie.html,"Anthropologie - Women's Clothing, Accessories & Home","Explore Anthropologie's unique collection of women's clothing, accessories, home décor, furniture, gifts and more.",,magento,"afterpay, klarna, affirm",bazaarvoice,,subscribe_pro,,,,"free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Womenswear (Other),11.5,"platform: magento; bnpl: afterpay, klarna, affirm; reviews: bazaarvoice"
Free People,https://www.freepeople.com,Boho womenswear,Legacy retail,Trend-forward assortment with strong imagery,Navigation can get long/scroll-heavy,Trending edits; outfit styling; UGC + reviews; free-shipping thresholds,free-people.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/free-people.html,Free People - Women’s Boho Clothing & Bohemian Fashion,"Free People, a specialty lifestyle brand, is the destination for bohemian fashion & one-of-a-kind clothing, accessories, shoes & beauty. Shop our collection today.",,magento,"afterpay, klarna, affirm",bazaarvoice,,subscribe_pro,,,,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Womenswear (Other),13.0,"platform: magento; bnpl: afterpay, klarna, affirm; reviews: bazaarvoice"
Urban Outfitters,https://www.urbanoutfitters.com,Youth fashion + streetwear,Legacy retail,Fast trend merchandising and discovery,Can be noisy and promo-saturated,PLP quick add; trend capsules; personalization recommendations,urban-outfitters.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/urban-outfitters.html,"Urban Outfitters: Men’s & Women’s Clothing, Homeware & Decor","Shop men’s and women’s apparel, streetwear clothing, and stylish apartment décor and furniture at Urban Outfitters. Explore new arrivals today.",,magento,"afterpay, klarna, affirm",bazaarvoice,,subscribe_pro,,nosto,,"free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Other,14.5,"platform: magento; bnpl: afterpay, klarna, affirm; reviews: bazaarvoice; search: nosto"
