segment,store,niche,archetype,url,score,signals,features_to_steal,watchouts,evidence
Premium DTC Womenswear,Reformation,Premium DTC womenswear,DTC brand,https://www.thereformation.com,9.0,platform: magento,PDP fabric/fit callouts; outfit styling; sustainability positioning; fast checkout,Heavy imagery can impact performance,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/reformation.html
Premium DTC Womenswear,Sezane,Premium DTC womenswear,DTC brand,https://www.sezane.com,6.0,platform: magento,Shop the look; outfit bundling; editorial PLPs; strong photography,Can bury basics behind storytelling,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/sezane.html
Premium DTC Womenswear,Doen,Premium DTC womenswear,DTC brand,https://www.doen.com,2.0,blocked; platform: magento,Editorial merchandising; PDP photography; outfit styling,Assortment volatility risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/doen.html
Contemporary Womenswear,Staud,Contemporary womenswear,DTC brand,https://www.staud.clothing,13.0,"platform: shopify, magento; bnpl: afterpay, klarna; reviews: trustpilot; returns: loop_returns",Premium visuals; curated drops; cross-sell,Automated snapshot timed out; manual audit required,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/staud.html
Contemporary Womenswear,AllSaints,Contemporary womenswear,Legacy retail,https://www.allsaints.com,12.0,"platform: magento; bnpl: afterpay, klarna; reviews: yotpo",Category landing pages; strong photography; promotions done cleanly,Legacy UX debt risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/allsaints.html
Contemporary Womenswear,Ganni,Contemporary womenswear,Legacy retail,https://www.ganni.com,10.0,platform: magento; bnpl: klarna,Trend capsules; editorial imagery; clear category architecture,Internationalization complexity,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/ganni.html
Intimates / Shapewear,Negative Underwear,Premium minimal lingerie,DTC brand,https://negativeunderwear.com,14.0,"platform: shopify, magento; bnpl: afterpay; reviews: okendo; returns: loop_returns; search: rebuy",Minimal PDP; strong imagery; clear policies,Needs strong trust/returns info visibility,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/negative-underwear.html
Intimates / Shapewear,SKIMS,Shapewear + intimates,DTC brand,https://skims.com,14.0,"platform: shopify, magento; bnpl: afterpay, klarna; reviews: okendo; search: algolia, dynamic_yield",Fit/size guidance; complete-the-set; BNPL; fast checkout,Can feel hype-driven without clear guidance,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/skims.html
Intimates / Shapewear,ThirdLove,Fit-first lingerie,DTC brand,https://www.thirdlove.com,13.0,"platform: shopify, magento; bnpl: afterpay, klarna; reviews: yotpo, trustpilot; search: rebuy",Fit quiz; size guidance; trust + returns messaging,Needs ongoing social proof freshness,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/thirdlove.html
Activewear / Athleisure,Sweaty Betty,Women’s activewear,Legacy retail,https://www.sweatybetty.com,15.5,"platform: magento; bnpl: afterpay, klarna; reviews: bazaarvoice; returns: narvar; search: algolia, dynamic_yield",Fit guidance; activity edits; loyalty modules,Legacy UX debt risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/sweaty-betty.html
Activewear / Athleisure,Alo Yoga,Premium athleisure,DTC brand,https://www.aloyoga.com,13.5,"platform: shopify, magento; bnpl: afterpay; reviews: bazaarvoice",Lifestyle imagery; best sellers edits; strong PDP media,Can prioritize hype over clarity,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/alo-yoga.html
Activewear / Athleisure,Carbon38,Premium activewear marketplace,Marketplace,https://www.carbon38.com,12.0,"platform: shopify, magento; bnpl: afterpay, klarna; reviews: yotpo, trustpilot",Curated edits; premium PLP/PDP; cross-sells,Smaller brand awareness,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/carbon38.html
Swimwear,Andie Swim,Swimwear,DTC brand,https://andieswim.com,16.5,"platform: shopify, magento; bnpl: afterpay, zip; reviews: okendo; returns: loop_returns; search: nosto",Coverage tags; fit quiz entry points; clear returns,Limited assortment requires strong discovery,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/andie-swim.html
Swimwear,Frankies Bikinis,Trend swimwear,DTC brand,https://frankiesbikinis.com,13.5,"platform: shopify, magento; bnpl: afterpay, klarna; search: nosto",Trend drops; lifestyle imagery; fast quick-add,Can trade clarity for hype,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/frankies-bikinis.html
Swimwear,Montce Swim,Swimwear,DTC brand,https://www.montce.com,12.5,"platform: shopify, magento; bnpl: afterpay, klarna; reviews: yotpo, trustpilot",Mix-and-match UX; styling imagery; size guidance,Config complexity can increase friction,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/montce-swim.html
Luxury Marketplace,Mytheresa,Luxury womenswear marketplace,Marketplace,https://www.mytheresa.com,3.0,—,Luxury filters; editorial + commerce blend; high trust UX,Can be heavy on imagery/performance,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/mytheresa.html
Luxury Marketplace,Net-a-Porter,Luxury womenswear marketplace,Marketplace,https://www.net-a-porter.com,3.0,—,Editorial merchandising; luxury trust framing; top-tier filtering,Automated snapshot timed out; manual audit required,https://www.net-a-porter.com
