sweep,name,category,website,notes,slug,evidence_status,snapshot_title,snapshot_description,evidence_file
core,Adobe Commerce (Magento),commerce platform,https://business.adobe.com/products/magento/magento-commerce.html,Enterprise commerce platform | unblocked via https://experienceleague.adobe.com/en/docs/commerce,adobe-commerce-magento,ok,Adobe Commerce Documentation,Search for self-help articles and tutorials on Adobe Commerce. Learn strategies and best practices from experts in live and on-demand video events.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/adobe-commerce-magento.md
core,AfterShip,shipment tracking,https://www.aftership.com,Tracking + notifications + returns suite,aftership,ok,AfterShip: the ultimate all-in-one solution for eCommerce,"AfterShip streamlines your customer experience, reduces costs, and centralizes business management by managing all your eCommerce operations on a single platform.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/aftership.md
core,AfterShip Returns,returns,https://www.aftership.com/returns,Returns workflow + portal,aftership-returns,ok,Returns & Exchanges Management Solution - AfterShip,Deliver a hassle-free returns experience with an ultimate returns solution. Reduce costs and recover revenue with automated returns and flexible exchange solutions.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/aftership-returns.md
core,Algolia,site search,https://www.algolia.com,Hosted search + merchandising,algolia,ok,The AI Retrieval Platform - Agentic | Generative | Search,"More than 18,000 organizations rely on Algolia. From Agentic to Generative to Search AI, Algolia gives teams the tools to build intuitive, adaptive, and high-performing digital experiences on a single AI Retrieval Platform.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/algolia.md
core,Attentive,sms marketing,https://www.attentive.com,SMS marketing + journeys,attentive,ok,Why Choose Attentive? Personalized Customer Engagement | Attentive,Learn more about Attentive—the SMS and email platform that brings your customer interactions to life with advanced AI.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/attentive.md
core,BigCommerce,commerce platform,https://www.bigcommerce.com,Mid-market ecommerce platform,bigcommerce,ok,Shape Your Future On Your Terms | BigCommerce,"Think big — and grow bigger — with our flexible, professional-grade ecommerce platform.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/bigcommerce.md
core,Bold Subscriptions,subscriptions,https://boldcommerce.com,Subscriptions + checkout extensions,bold-subscriptions,ok,"Over 760,000 e-Commerce Merchants Have Installed Bold's Shopify Apps",With the best App Suite for Shopify Checkout and a decade+ of e-commerce experience Bold has the tech online retailers need to gain a competitive advantage.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/bold-subscriptions.md
core,commercetools,headless commerce,https://commercetools.com,Enterprise headless commerce,commercetools,ok,The Leading AI-first Commerce Platform For Enterprises | commercetools,Deliver unmatched revenue growth through the AI-first commerce platform trusted by the world’s leading enterprises. Start your free trial!,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/commercetools.md
core,EasyPost,shipping api,https://www.easypost.com,Shipping API primitives,easypost,ok,The Simple Shipping API - EasyPost,EasyPost's best-in-class Shipping APIs provide end-to-end flexibility and more control over parcel shipping and logistics processes.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/easypost.md
core,Ecwid,commerce platform,https://www.ecwid.com,Embeddable storefront + ecommerce,ecwid,ok,#1 Ecommerce Shopping Cart & Online Store - Try Ecwid!,Launch your online store easily—no tech skills required. Build a brand-new ecommerce site or add an online store to your existing website. No transaction fees.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/ecwid.md
