# Competitor seeds (pipe-delimited): name|category|website|notes
#
# Examples:
# Shopify|commerce platform|https://www.shopify.com|Baseline platform
# Medusa|headless commerce|https://medusajs.com|OSS headless backend

# --- Core ecommerce platforms / headless commerce ---
Shopify|commerce platform|https://www.shopify.com|Baseline ecommerce platform + admin UX
BigCommerce|commerce platform|https://www.bigcommerce.com|Mid-market ecommerce platform
WooCommerce|commerce platform|https://woocommerce.com|WordPress ecommerce ecosystem
Adobe Commerce (Magento)|commerce platform|https://business.adobe.com/products/magento/magento-commerce.html|Enterprise commerce platform
Salesforce Commerce Cloud|commerce platform|https://www.salesforce.com/products/commerce-cloud/overview/|Enterprise commerce platform
commercetools|headless commerce|https://commercetools.com|Enterprise headless commerce
Elastic Path|headless commerce|https://www.elasticpath.com|Composable/headless commerce
VTEX|commerce platform|https://vtex.com|Enterprise commerce + OMS
Shopware|commerce platform|https://www.shopware.com|EU commerce platform
PrestaShop|commerce platform|https://prestashop.com|SMB commerce platform
OpenCart|commerce platform|https://www.opencart.com|Open-source ecommerce platform
Wix eCommerce|commerce platform|https://www.wix.com/ecommerce|Website builder + ecommerce
Squarespace Commerce|commerce platform|https://www.squarespace.com/ecommerce|Website builder + ecommerce
Square Online|commerce platform|https://squareup.com/us/en/online-store|Omnichannel POS + online store
Lightspeed eCom|commerce platform|https://www.lightspeedhq.com|Retail + ecommerce
Ecwid|commerce platform|https://www.ecwid.com|Embeddable storefront + ecommerce

# --- OSS / developer-first commerce backends (worth “stealing”) ---
Medusa|headless commerce (oss)|https://medusajs.com|OSS commerce backend
Saleor|headless commerce (oss)|https://saleor.io|GraphQL-first OSS commerce
Vendure|headless commerce (oss)|https://www.vendure.io|Node/TS headless commerce
Spree Commerce|headless commerce (oss)|https://spreecommerce.org|Ruby-based commerce platform
Sylius|headless commerce (oss)|https://sylius.com|Symfony/PHP commerce platform

# --- Shipping / fulfillment / logistics ---
ShipStation|shipping|https://www.shipstation.com|Shipping label + ops dashboard
Shippo|shipping|https://goshippo.com|Shipping API + labels
EasyPost|shipping api|https://www.easypost.com|Shipping API primitives
AfterShip|shipment tracking|https://www.aftership.com|Tracking + notifications + returns suite
ShipBob|fulfillment (3PL)|https://www.shipbob.com|Fulfillment + WMS-like ops
ShipHero|warehouse management|https://shiphero.com|WMS + fulfillment ops tooling
ShipMonk|fulfillment (3PL)|https://www.shipmonk.com|Fulfillment + warehouse ops

# --- Returns / post-purchase ---
Loop Returns|returns|https://loopreturns.com|Returns portal + exchanges UX
AfterShip Returns|returns|https://www.aftership.com/returns|Returns workflow + portal
ReturnGO|returns|https://returngo.ai|Returns management portal
Narvar|post-purchase|https://www.narvar.com|Tracking + returns + post-purchase comms
Happy Returns|returns|https://happyreturns.com|Returns drop-off network

# --- Subscriptions ---
Recharge|subscriptions|https://rechargepayments.com|Subscriptions (Shopify-heavy)
Skio|subscriptions|https://skio.com|Subscriptions for Shopify brands
Bold Subscriptions|subscriptions|https://boldcommerce.com|Subscriptions + checkout extensions
Ordergroove|subscriptions|https://www.ordergroove.com|Enterprise subscriptions

# --- Support / CX tooling (admin-side workflows) ---
Gorgias|helpdesk|https://www.gorgias.com|Shopify-native support workflows
Zendesk|helpdesk|https://www.zendesk.com|General helpdesk + integrations
Re:amaze|helpdesk|https://www.reamaze.com|Ecom-friendly support suite
Help Scout|helpdesk|https://www.helpscout.com|Email-first helpdesk
Intercom|customer messaging|https://www.intercom.com|Support + automation + inbox
Kustomer|helpdesk|https://www.kustomer.com|Omnichannel support platform

# --- Fraud / risk / chargebacks (merchant trust ops) ---
Signifyd|fraud prevention|https://www.signifyd.com|Fraud protection + chargeback liability posture
Riskified|fraud prevention|https://www.riskified.com|Fraud + policy engine posture (enterprise)
NoFraud|fraud prevention|https://nofraud.com|Fraud protection + Shopify app presence
Chargeflow|chargebacks|https://chargeflow.io|Chargeback automation + dispute workflows
ClearSale|fraud prevention|https://www.clear.sale|Fraud protection for ecommerce (global posture)

# --- Payments / checkout (merchant finance + conversion ops) ---
Stripe|payments|https://stripe.com|Payments platform + checkout + billing + disputes
Adyen|payments|https://www.adyen.com|Global payments platform for enterprises
PayPal|payments|https://www.paypal.com|Consumer + merchant payments, checkout buttons, disputes
Braintree|payments|https://www.braintreepayments.com|Developer-first payments (PayPal) + vaulting
Bolt|checkout|https://www.bolt.com|1-click checkout + identity/network posture

# --- Inventory / OMS (order sync + inventory accuracy) ---
Cin7|inventory/oms|https://www.cin7.com|Inventory + order management for multi-channel commerce
Linnworks|inventory/oms|https://www.linnworks.com|Multi-channel inventory + order management platform
Brightpearl|inventory/ops|https://www.brightpearl.com|Retail ops system (inventory + orders) for brands/retailers
Extensiv|oms/wms|https://www.extensiv.com|Order management + warehouse/inventory tooling (3PL + brands)
Zoho Inventory|inventory|https://www.zoho.com/inventory|SMB inventory + order management suite

# --- Loyalty / rewards (retention ops) ---
Smile.io|loyalty|https://smile.io|Loyalty + rewards program builder (Shopify-heavy)
LoyaltyLion|loyalty|https://loyaltylion.com|Loyalty and rewards platform for ecommerce brands
