store,url,niche,why_it_matters,features_to_steal,snapshot_file,snapshot_path,snapshot_title,snapshot_description,blocked,platform,bnpl,reviews,support,subscriptions,returns,search_personalization,tracking,ux_keywords
Glossier,https://www.glossier.com,Beauty DTC,Community + content-led conversion,UGC loops; routine building; reviews/photos; fast checkout,glossier.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/glossier.html,Glossier,Glossier,,"shopify, magento",,yotpo,gorgias,recharge,,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, sustainability"
Sephora,https://www.sephora.com,Beauty marketplace,Discovery + trust at scale,Filtering; ratings/reviews; sampling framing; loyalty UX,sephora.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/sephora.html,"Makeup, Skincare, Fragrance, Hair & Beauty Products | Sephora","Discover the latest in beauty at Sephora! Explore an unrivaled selection of makeup, skincare, hair, fragrance & more from classic & emerging brands.",,,"afterpay, klarna",bazaarvoice,,,,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Ulta,https://www.ulta.com,Beauty marketplace,Promos + loyalty mechanics at scale,Offer architecture; loyalty; personalized recs; omnichannel cues,ulta.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ulta.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,
Rare Beauty,https://www.rarebeauty.com,Beauty DTC,Mission-driven brand + social proof,Creator merchandising; PDP media; bundles,rare-beauty.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/rare-beauty.html,Rare Beauty by Selena Gomez | Vegan & Cruelty Free Makeup,"Rare Beauty is makeup made to feel good in, without hiding what makes you unique. Shop airy, breathable formulas that are easy to apply, blend and build.",,"shopify, magento",klarna,,gorgias,recharge,,,"gtm, ga","free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
OUAI,https://www.ouai.com,Beauty DTC,High AOV DTC with routine framing,Bundles; subscriptions; PDP copy; reviews,,,,,,,,,,,,,,
Drunk Elephant,https://www.drunk-elephant.com,Beauty DTC,Product education reduces uncertainty,Ingredient education; routines; PDP clarity; trust cues,,,,,,,,,,,,,,
Fenty Beauty,https://fentybeauty.com,Beauty DTC,Drop + newness merchandising,Launch cadence; shade range navigation; UGC; bundles,fenty-beauty.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/fenty-beauty.html,Fenty Beauty by Rihanna | Beauty for All,"Fenty Beauty by Rihanna was created with promise of inclusion for all women. With an unmatched offering of shades and colors for ALL skin tones, you'll never look elsewhere for your beauty staples. Browse our foundation line, lip colors, and so much more.",,"shopify, magento","afterpay, klarna",yotpo,gorgias,,narvar,searchspring,"gtm, ga","free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Tatcha,https://www.tatcha.com,Beauty DTC,Premium skincare conversion,Routine finder; PDP education; bundles; gifting,tatcha.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/tatcha.html,Luxury Japanese Skincare Products | Tatcha,Shop Tatcha,,magento,afterpay,yotpo,,,narvar,dynamic_yield,"gtm, ga, meta_pixel","free_shipping, returns_exchanges, gift_cards, newsletter_signup, sustainability"
Paula's Choice,https://www.paulaschoice.com,Beauty DTC,Education + skin concerns navigation,Problem-first navigation; routines; quizzes; subscriptions,paula-s-choice.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/paula-s-choice.html,Paula's Choice | Shop Paula's Choice,Achieve radiant and healthy skin with Paula’s Choice Skincare. Shop our research-based skin care products for all skin types and skin concerns.,,,"afterpay, klarna",powerreviews,,,narvar,,gtm,"free_shipping, returns_exchanges, newsletter_signup, loyalty_rewards, sustainability"
The Ordinary,https://theordinary.com,Beauty DTC,Simple value proposition + transparency,Ingredient clarity; collections; PDP education,the-ordinary.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-ordinary.html,The Ordinary | Clinical Formulations with Integrity,"The Ordinary is your destination for Skincare, Makeup, Hair, and Body solutions. Discover clinical formulations with integrity.",,magento,,bazaarvoice,,,,,"gtm, ga","free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
The Inkey List,https://www.theinkeylist.com,Beauty DTC,Concern-led shopping flow,Skin concerns navigation; routines; bundles,the-inkey-list.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-inkey-list.html,The INKEY List | Free US Shipping Over $35,INKEY delivers knowledge-powered skincare for every concern. Order today & get free shipping when you spend $35.,,"shopify, magento",klarna,"okendo, trustpilot",gorgias,,,dynamic_yield,"gtm, ga","free_shipping, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Supergoop,https://supergoop.com,Beauty DTC,Education for category adoption,Finder/quiz; PDP education; bundles; reviews,supergoop.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/supergoop.html,Supergoop! The Best Skincare with SPF and Sunscreen,"Supergoop! is the only prestige skincare brand 100% dedicated to suncare, making it easy to incorporate UV protection into your daily routine",,"shopify, magento","afterpay, klarna","yotpo, okendo, judge_me, trustpilot",gorgias,skio,,searchspring,"gtm, ga","free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Summer Fridays,https://summerfridays.com,Beauty DTC,Brand aesthetics + social proof,UGC/creator cues; clean PDP; bundles,summer-fridays.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/summer-fridays.html,Summer Fridays | Skincare + Hybrid Makeup,"Shop Summer Fridays skincare products. Our collection includes face masks, treatments and serums to leave your skin glowing, with vegan and clean ingredients.",,"shopify, magento",afterpay,"yotpo, okendo, trustpilot",gorgias,skio,,klevu,"gtm, ga","free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Kiehl's,https://www.kiehls.com,Beauty DTC,Loyalty + sampling,Rewards; bundles; subscriptions; gifting,kiehl-s.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/kiehl-s.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,
Aesop,https://www.aesop.com,Beauty DTC,Premium brand UX,Minimalist design; store locator; storytelling; gifting,aesop.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/aesop.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,
Lush,https://www.lush.com,Beauty retail,Product discovery + gifting,Category storytelling; gifting; store locator,lush.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/lush.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,
ColourPop,https://colourpop.com,Beauty DTC,Drop-driven merchandising,Newness; bundles; promos; UGC,colourpop.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/colourpop.html,ColourPop Cosmetics,"Redefining luxury beauty by creating high quality products at affordable prices. We pride ourselves on being cruelty-free, wallet-friendly, and keeping our customers at the center of our world. We imagine, innovate, test, and manufacture all under one roof.",,"shopify, magento",klarna,"yotpo, okendo",gorgias,,,klevu,"gtm, ga","newsletter_signup, loyalty_rewards, sustainability"
e.l.f. Cosmetics,https://www.elfcosmetics.com,Beauty DTC,Mass market promos + loyalty,Promos; bundles; loyalty; creator cues,e-l-f-cosmetics.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/e-l-f-cosmetics.html,e.l.f. Cosmetics: Affordable Makeup & Skincare - Cruelty Free | e.l.f. Cosmetics,"Shop e.l.f. Cosmetics for affordable, high-quality makeup and skincare for every eye, lip, and face. Vegan and cruelty-free products that empower your beauty..",,magento,"afterpay, klarna",bazaarvoice,,,aftership,,gtm,"free_shipping, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
MAC Cosmetics,https://www.maccosmetics.com,Beauty DTC,Shade selection + artistry,Shade navigation; PDP media; tutorials; bundles,mac-cosmetics.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/mac-cosmetics.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,
Charlotte Tilbury,https://www.charlottetilbury.com,Beauty DTC,High-conversion merchandising,Bundles; routine sets; PDP education; social proof,charlotte-tilbury.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/charlotte-tilbury.html,Charlotte Tilbury,,,,,,,,,,,store_locator
Dermstore,https://www.dermstore.com,Beauty marketplace,Marketplace-style trust for skincare,Filtering; reviews; subscriptions; rewards,dermstore.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/dermstore.html,"Dermstore: Skin Care, Sunscreen, Hair, & Beauty Products","Shop professional and luxury skincare, hair & beauty products. Discover dermatologist-recommended brands & expert skin health advice at Dermstore.",,magento,,"bazaarvoice, powerreviews, trustpilot",,,,dynamic_yield,"gtm, ga, meta_pixel, tiktok_pixel","returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Cult Beauty,https://www.cultbeauty.com,Beauty retail,Editorial + discovery,Curation; filtering; gift sets; reviews,cult-beauty.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/cult-beauty.html,Cult Beauty | Shop The UK's Best Beauty Brands,"THE destination for the very best in beauty! From make up and skin care to fragrance, hair care and more, explore our line up of trending brands today.",,magento,klarna,trustpilot,,,,dynamic_yield,"gtm, ga, meta_pixel, tiktok_pixel","returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Lookfantastic,https://www.lookfantastic.com,Beauty retail,Promo-heavy beauty retail,Offer architecture; bundles; loyalty; upsells,lookfantastic.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/lookfantastic.html,"LOOKFANTASTIC - Beauty, Fragrances, Skincare & Haircare",The UK,,magento,klarna,"bazaarvoice, trustpilot",,,,dynamic_yield,"gtm, ga, meta_pixel, tiktok_pixel","returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
